sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
el paso,2011,2738,10345,712,43667.19,115.56,6906,37,20,6,232,697,929,9416,1369,8976,NA
laredo,2011,1871,36053,6922,132442.8,509.79,9678,26,203,65,1053,1608,2661,33392,5798,30255,NA
rio grande valley,2011,2504,59243,20890,1021841.6,3163.79,9088,108,238,66,1508,5236,6744,52499,12335,46908,NA
san diego,2011,2669,42447,1166,68824.69,2504.17,1857,77,27,14,475,549,1024,41423,3015,39432,NA
tucson,2011,4239,123285,11311,1039442.69,170.58,32703,251,509,180,3034,5878,8912,114373,15346,107937,NA
yuma,2011,969,5833,417,31108.92,257.91,3163,31,5,1,98,222,320,5513,534,5299,NA
southwest border,2011,18506,327577,46997,2518211.42,8762.73,74975,666,1070,357,6902,15949,22851,304726,42590,284984,NA
big bend,2010,672,5288,,,,,,,0,,,,,,,NA
del rio,2010,1650,14694,,,,,,,23,,,,,,,NA
el centro,2010,1181,32562,,,,,,,14,,,,,,,NA
el paso,2010,2752,12251,,,,,,,4,,,,,,,NA
laredo,2010,1858,35287,,,,,,,35,,,,,,,NA
rio grande valley,2010,2441,59766,,,,,,,29,,,,,,,NA
san diego,2010,2594,68565,,,,,,,8,,,,,,,NA
tucson,2010,3353,212202,,,,,,,251,,,,,,,NA
yuma,2010,987,7116,,,,,,,1,,,,,,,NA
southwest border,2010,17535,447731,,,,,,,365,,,,,,,NA
big bend,2009,682,6360,,,,,,,3,,,,,,,NA
del rio,2009,1682,17082,,,,,,,29,,,,,,,NA
el centro,2009,1187,33521,,,,,,,27,,,,,,,NA
el paso,2009,2712,14999,,,,,,,5,,,,,,,NA
laredo,2009,1863,40569,,,,,,,58,,,,,,,NA
rio grande valley,2009,2422,60989,,,,,,,68,,,,,,,NA
san diego,2009,2570,118721,,,,,,,15,,,,,,,NA
tucson,2009,3318,241673,,,,,,,212,,,,,,,NA
yuma,2009,972,6951,,,,,,,3,,,,,,,NA
southwest border,2009,17408,540865,,,,,,,420,,,,,,,NA
big bend,2008,421,5391,,,,,,,3,,,,,,,NA
del rio,2008,1427,20761,,,,,,,22,,,,,,,NA
el centro,2008,1080,40961,,,,,,,20,,,,,,,NA
el paso,2008,2506,30312,,,,,,,8,,,,,,,NA
laredo,2008,1636,43658,,,,,,,32,,,,,,,NA
rio grande valley,2008,2063,75473,,,,,,,92,,,,,,,NA
san diego,2008,2328,162390,,,,,,,32,,,,,,,NA
tucson,2008,3049,317696,,,,,,,171,,,,,,,NA
yuma,2008,932,8363,,,,,,,5,,,,,,,NA
southwest border,2008,15442,705005,,,,,,,385,,,,,,,NA
big bend,2007,336,5536,,,,,,,0,,,,,,,NA
del rio,2007,1138,22920,,,,,,,20,,,,,,,NA
el centro,2007,894,55883,,,,,,,12,,,,,,,NA
el paso,2007,2251,75464,,,,,,,25,,,,,,,NA
laredo,2007,1206,56714,,,,,,,52,,,,,,,NA
rio grande valley,2007,1822,73430,,,,,,,61,,,,,,,NA
san diego,2007,2019,152460,,,,,,,15,,,,,,,NA
tucson,2007,2806,378239,,,,,,,202,,,,,,,NA
yuma,2007,825,37992,,,,,,,11,,,,,,,NA
southwest border,2007,13297,858638,,,,,,,398,,,,,,,NA
big bend,2006,246,7520,,,,,,,4,,,,,,,NA
del rio,2006,935,42636,,,,,,,34,,,,,,,NA
el centro,2006,713,61465,,,,,,,21,,,,,,,NA
el paso,2006,1741,122256,,,,,,,33,,,,,,,NA
laredo,2006,926,74840,,,,,,,36,,,,,,,NA
rio grande valley,2006,1431,110528,,,,,,,81,,,,,,,NA
san diego,2006,1671,142104,,,,,,,36,,,,,,,NA
tucson,2006,2595,392074,,,,,,,169,,,,,,,NA
yuma,2006,774,118549,,,,,,,40,,,,,,,NA
southwest border,2006,11032,1071972,,,,,,,454,,,,,,,NA
big bend,2005,220,10536,,,,,,,4,,,,,,,NA
del rio,2005,907,68506,,,,,,,28,,,,,,,NA
el centro,2005,684,55722,,,,,,,30,,,,,,,NA
el paso,2005,1330,122679,,,,,,,28,,,,,,,NA
laredo,2005,937,75346,,,,,,,53,,,,,,,NA
rio grande valley,2005,1380,134186,,,,,,,55,,,,,,,NA
san diego,2005,1562,126904,,,,,,,23,,,,,,,NA
tucson,2005,2324,439079,,,,,,,219,,,,,,,NA
yuma,2005,547,138438,,,,,,,52,,,,,,,NA
southwest border,2005,9891,1171396,,,,,,,492,,,,,,,NA
big bend,2004,239,10530,,,,,,,0,,,,,,,NA
del rio,2004,933,53794,,,,,,,21,,,,,,,NA
el centro,2004,734,74467,,,,,,,36,,,,,,,NA
el paso,2004,1094,104399,,,,,,,18,,,,,,,NA
laredo,2004,981,74706,,,,,,,22,,,,,,,NA
rio grande valley,2004,1439,92947,,,,,,,35,,,,,,,NA
san diego,2004,1651,138608,,,,,,,15,,,,,,,NA
tucson,2004,2104,491771,,,,,,,142,,,,,,,NA
yuma,2004,331,98060,,,,,,,39,,,,,,,NA
southwest border,2004,9506,1139282,,,,,,,328,,,,,,,NA
big bend,2003,230,10319,,,,,,,0,,,,,,,NA
del rio,2003,950,50145,,,,,,,23,,,,,,,NA
el centro,2003,755,92099,,,,,,,61,,,,,,,NA
el paso,2003,1188,88816,,,,,,,10,,,,,,,NA
laredo,2003,1025,70521,,,,,,,17,,,,,,,NA
rio grande valley,2003,1524,77749,,,,,,,39,,,,,,,NA
san diego,2003,1972,111515,,,,,,,29,,,,,,,NA
tucson,2003,1838,347263,,,,,,,137,,,,,,,NA
yuma,2003,358,56638,,,,,,,22,,,,,,,NA
southwest border,2003,9840,905065,,,,,,,338,,,,,,,NA
big bend,2002,253,11392,,,,,,,4,,,,,,,NA
del rio,2002,972,66985,,,,,,,29,,,,,,,NA
